Position,Country,IDH,Language,Code,Long,Lat
104,Samoa,0.713,Samoan,sm,-172.10462900000002,-13.759029
105,Uzbekistan,0.71,Uzbek,uz,64.585262,41.377491
106,Belize,0.708,English,en,-88.49765,17.189877
106,Marshall Islands,0.708,English,en,171.184478,7.131474
108,Libya,0.706,Arabic,ar,17.228331,26.3351
110,Gabon,0.7020000000000001,French,fr,11.609444,-0.803689
110,Paraguay,0.7020000000000001,Spanish,es,-58.44383199999999,-23.442503
112,Moldova,0.7,Romanian,ro,28.369884999999996,47.411631
113,Philippines,0.6990000000000001,Filipino,tl,121.77401699999999,12.879721
113,South Africa,0.6990000000000001,Zulu,zu,22.937506,-30.559482
115,Egypt,0.696,Arabic,ar,30.802497999999996,26.820553
116,Indonesia,0.6940000000000001,Indonesian,id,113.921327,-0.789275
116,Vietnam,0.6940000000000001,Vietnamese,vi,108.277199,14.058324
118,Bolivia,0.693,Spanish,es,-63.588653,-16.290154
119,Palestine,0.6859999999999999,Arabic,ar,35.233154,31.952162
120,Iraq,0.685,Arabic,ar,43.679291,33.223191
121,El Salvador,0.674,Spanish,es,-88.89653,13.794185
122,Kyrgyzstan,0.672,Russian,ru,74.766098,41.20438
123,Morocco,0.667,Arabic,ar,-7.09262,31.791702
124,Nicaragua,0.6579999999999999,Spanish,es,-85.207229,12.865416
125,Cape Verde,0.654,Portuguese,pt,-24.013197,16.002082
125,Guyana,0.654,English,en,-58.93018000000001,4.860416
127,Guatemala,0.65,Spanish,es,-90.23075899999999,15.783471
129,Namibia,0.647,English,en,18.49041,-22.95764
130,India,0.64,Hindi,hi,78.96288,20.593684
132,East Timor,0.625,Portuguese,pt,125.727539,-8.874217
133,Honduras,0.617,Spanish,es,-86.241905,15.199999
134,Kiribati,0.612,English,en,-168.734039,-3.370417
136,Bangladesh,0.608,Bengali,bn,90.35633100000001,23.684994
137,Republic of the Congo,0.606,French,fr,15.827658999999999,-0.228021
138,Vanuatu,0.603,French,fr,166.959158,-15.376706
139,Laos,0.601,lao,lo,102.495496,19.85627
140,Ghana,0.5920000000000001,English,en,-1.0231940000000002,7.946527
141,Equatorial Guinea,0.591,Portuguese,pt,10.267895,1.650801
142,Kenya,0.59,English,en,37.906193,-0.023559
143,São Tomé and Príncipe,0.589,Portuguese,pt,6.613081,0.18636
144,Zambia,0.588,English,en,27.849332,-13.133897
147,Angola,0.581,Portuguese,pt,17.873887,-11.202692
148,Myanmar,0.578,Burmese,my,95.956223,21.913965
149,Nepal,0.574,Nepali,ne,84.12400799999999,28.394857
150,Pakistan,0.562,Urdu,ur,69.345116,30.375321
151,Cameroon,0.556,French,fr,12.354722,7.369722
152,Solomon Islands,0.546,English,en,160.156194,-9.64571
153,Papua New Guinea,0.544,English,en,143.95555,-6.314993
154,Tanzania,0.5379999999999999,Swahili,sw,34.888822,-6.369028
155,Syria,0.536,Arabic,ar,38.996815000000005,34.802075
156,Zimbabwe,0.535,Shona,sn,29.154857,-19.015438
157,Nigeria,0.532,Hausa,ha,8.675277000000001,9.081999
158,Rwanda,0.524,Swahili,sw,29.873888,-1.940278
159,Lesotho,0.52,English,en,28.233608,-29.609988
159,Mauritania,0.52,Arabic,ar,-10.940835,21.00789
161,Madagascar,0.519,Malagasy,mg,46.869107,-18.766947
162,Uganda,0.516,Swahili,sw,32.290275,1.373333
163,Benin,0.515,French,fr,2.315834,9.30769
164,Senegal,0.505,French,fr,-14.452361999999999,14.497401
165,Comoros,0.503,Arabic,ar,43.872219,-11.875001
165,Togo,0.503,French,fr,0.824782,8.619543
167,Sudan,0.502,Arabic,ar,30.217636,12.862807
168,Haiti,0.498,Haitian Creole,ht,-72.28521500000001,18.971187
168,Afghanistan,0.498,Pashto,ps,67.709953,33.93911
170,Ivory Coast,0.49200000000000005,French,fr,-5.5475449999999995,7.5455112
